,0
has_https,0.686912955756386
count.,0.0935506709093229
phish_keyword,0.0525260887202422
count-digits,0.030885115977316295
hostname_length,0.029089354372734366
url_length,0.02394253776032016
count-,0.01874396038557568
path_length,0.014944102609625243
subdomain_count,0.011483863852179182
fd_length,0.011393098918789389
